行驶里程,行驶时长,平均时速,时速标准差,时速最大值,平稳性,转速平均值,转速标准差,转速最大值,早晚高峰,深夜出行,极度拥堵,高速行驶,疲劳驾驶,车号
0.05,0.065556,7.931034483,9.595129101,32,0.901880821,877.8965517,84.16367762,1119,0,0,0.724137931,0,0,3
2,0.3791688,10.17721519,13.68969997,58,0.986583359,903.0886076,161.8133067,1550,0,0,0.715189873,0,0,3
5,0.6458328,22.44402985,21.48321882,68,0.908537365,988.011194,174.0910581,1660,0,0,0.455223881,0,0,3
5,0.206112,29.50943396,18.32471414,56,1.040289062,1000.783019,133.527169,1483,0,0,0.264150943,0,0,3
26,0.6811128,43.01322751,29.20643319,104,1.058921573,1121.68254,221.8876451,1683,1,0,0.211640212,0.029100529,0,3
29,0.8166672,36.80082988,27.70309167,96,1.05703759,1068.655602,235.51177,1739,1,0,0.273858921,0.008298755,0,3
5,0.3330552,24.23026316,19.87859523,64,0.969170647,1004.309211,198.0361273,1637,0,0,0.361842105,0,0,3
25,0.6638904,43.04774536,32.44213919,100,1.075457612,1107.984085,262.0545456,1728,1,0,0.297082228,0.050397878,0,3
6,0.7425,16.33717579,16.31690765,55,0.988679926,922.9798271,137.8588209,1362,0,0,0.55907781,0,0,3
26,0.585,51.765625,31.13845217,106,1.080882855,1161.8125,248.6865985,1705,0,1,0.1625,0.11875,0,3
26,0.5580552,44.74725275,31.85862137,94,1.06071442,1134.815934,252.7594958,1850,1,0,0.25,0.043956044,0,3
33,0.8025,44.35667396,23.27575268,95,1.040223545,1102.986871,213.7709563,1745,0,0,0.118161926,0.004376368,0,3
26,0.5977776,47.70893372,31.05363635,96,1.050916137,1154.613833,252.0134198,1728,1,0,0.181556196,0.057636888,0,3
25,0.7208328,38.16455696,27.13186,98,1.046791123,1090.055696,201.3275154,1943,1,0,0.227848101,0.02278481,0,3
8,0.5147208,30.06565657,23.37795248,92,0.991622073,1024.661616,218.9198023,1576,0,0,0.318181818,0.005050505,0,3
27,0.5180544,47.31609195,29.76416573,104,1.049021622,1167.261494,264.5062128,1784,1,0,0.192528736,0.037356322,0,3
26,0.8408328,41.24514563,26.30895605,90,1.027799462,1112.213592,222.2752464,1681,0.749916511,0,0.20631068,0,0,3
5,0.438888,24.63428571,20.40940091,60,1.026210303,991.4228571,180.5247573,1488,0,0,0.377142857,0,0,3
25,0.5541648,50.14150943,30.31728287,99,1.052660466,1168.550314,265.7150741,1808,0,0,0.160377358,0.075471698,0,3
2,0.1913904,16.01980198,20.02797054,73,1.049158388,984.2079208,207.0425713,1504,0,0,0.633663366,0,0,3
4,0.1900008,29.2815534,21.33138049,62,0.982761518,1063.699029,238.3416494,1698,0,0,0.330097087,0,0,3
27,0.7936128,41.01818182,27.70516159,96,1.036573616,1114.352273,243.0138892,1801,1,0,0.238636364,0.015909091,0,3
6,0.3558336,24.06060606,19.05534205,60,0.979045161,1010.121212,197.285907,1488,0,0,0.381818182,0,0,3
1,0.1683336,7.828571429,10.76538,40,0.895672595,899.5904762,171.3919089,1421,0,0,0.771428571,0,0,3
2,0.279168,15.38356164,14.37874882,48,0.871154721,937.8972603,189.7287257,1427,0,0,0.479452055,0,0,3
81,2.4016656,42.64303797,29.16278296,102,1.037805412,1133.191561,245.2360686,2086,0.078996177,0,0.232067511,0.060759494,2.4016656,3
28,0.7447224,40.22041763,30.52006813,98,1.073891525,1108.178654,246.7773464,1727,0,0,0.273781903,0.027842227,0,3
5,0.2808336,22.14371257,18.07756896,58,0.938447834,998.1377246,189.2347594,1486,0,0,0.395209581,0,0,3
22,0.564444,48.06802721,30.29764966,101,1.05306647,1146.244898,271.8313845,1847,0,0,0.214285714,0.068027211,0,3
7,0.536112,16.66006601,17.8887277,56,1.018855567,925.4389439,124.9832654,1365,0,0,0.534653465,0,0,3
5,0.4861104,18.64285714,19.1194625,72,1.024817507,948.1020408,207.8735804,1500,0,0,0.469387755,0,0,3
1,0.1899984,11,14.1487632,50,0.93040757,889.9896907,207.122372,1377,0,0,0.701030928,0,0,3
1,0.1136088,11.22222222,13.375698,59,0.898909069,903.1717172,189.9886162,1504,1,0,0.656565657,0,0,3
16,0.5630568,32.70662461,19.4304762,72,0.992354956,1001.725552,176.3438737,1463,0,0,0.217665615,0,0,3
26,0.6194424,45.27808989,33.93911156,107,1.060308737,1133.480337,312.8468593,2009,1,0,0.25,0.112359551,0,3
33,0.8463888,41.1446281,26.35636789,100,1.056155585,1133.607438,241.087664,1754,0.850015029,0,0.194214876,0.010330579,0,3
27,0.5311104,46.17732558,30.71899267,93,1.064153491,1144.418605,261.9552836,2370,1,0,0.220930233,0.040697674,0,3
48,1.035,55.74674115,30.39029563,113,1.022625624,1234.33892,318.4978512,1891,0,0,0.152700186,0.134078212,0,3
23,0.5386128,49.70486111,27.80719539,101,1.050405774,1179.076389,262.5946939,1646,1,0,0.152777778,0.076388889,0,3
6,0.6030552,17.25702811,20.99554006,68,1.005814941,950.4457831,239.4279601,1571,0,0,0.626506024,0,0,3
6,0.48,25.24223602,20.23356629,63,1.015443776,1008.142857,234.0609925,1657,0,0,0.354037267,0,0,3
26,0.6463896,45.38439306,29.73690801,102,1.037496194,1127.66185,269.8382416,1695,1,0,0.196531792,0.057803468,0,3
23,0.5747208,46.00641026,27.23908597,92,1.049718272,1122.573718,242.2114374,1783,1,0,0.189102564,0.025641026,0,3
27,0.5630544,44.55826558,30.46822103,105,1.050195003,1147.442935,259.8035561,1969,1,0,0.222222222,0.056910569,0,3
5,0.2694432,33.31460674,21.37415363,64,1.079966718,1578.775281,496.4071082,2217,1,0,0.202247191,0,0,4
8,0.303888,24.99497487,20.33792732,72,1.014859135,1429.869347,524.5312896,2491,0,0,0.301507538,0,0,4
11,0.4958328,29.22943723,24.44966789,84,1.112007211,1480.562771,535.1200956,2363,0,0,0.316017316,0,0,4
8,0.4091664,21.26431718,17.53001736,61,1.004278842,1382.903084,476.8132223,2313,0.845893505,0,0.356828194,0,0,4
4,0.1400016,34.51162791,19.3413572,66,1.122546282,1563.546512,479.7481118,2377,0,0,0.162790698,0,0,4
0.04,0.0516672,12.84375,9.798319063,30,0.814297399,1204.84375,357.8507627,1988,1,0,0.4375,0,0,4
5,0.2088888,25.968,13.38085778,46,1.006665669,1521.2,406.3883809,2282,1,0,0.184,0,0,4
6,0.2449992,26.52348993,12.9586577,47,0.935994239,1561.95302,401.200333,2277,0.481853002,0,0.147651007,0,0,4
9,0.2247216,32.15384615,24.53520309,90,1.045370261,1510.029586,564.8760233,2438,0,1,0.289940828,0,0,4
10,0.2558328,38.21428571,21.05888547,82,1.136203891,1544.642857,448.6809525,2288,0,1,0.103896104,0,0,4
28,1.0947216,24.1728763,22.11145264,77,1.115394648,1387.388972,525.3651658,2850,0.40903331,0,0.385991058,0,0,4
30,0.8469456,35.03614458,25.42980038,97,1.106845832,1567.584337,523.2795802,2665,1,0,0.234939759,0.008032129,0,4
5,0.292776,25.69298246,22.05629451,63,1.138615496,1372.850877,500.7924381,2251,1,0,0.368421053,0,0,4
31,1.3605552,36.39882122,28.00527366,90,1.152134493,1533.383104,566.2638194,2491,0,0,0.31237721,0,0,4
33,0.7419456,42.45154185,25.53119695,89,1.153952687,1694.048458,498.3263843,2527,1,0,0.158590308,0,0,4
6,0.170832,39.31372549,28.72573634,90,1.177586316,1558.343137,531.2863801,2461,1,0,0.245098039,0,0,4
5,0.1461096,30.01666667,24.61296486,75,1.089154582,1470.033333,520.4060782,2289,0,0,0.341666667,0,0,4
6,0.3877776,21.97487437,24.16158508,78,1.135038346,1346.98995,564.7266523,2557,1,0,0.527638191,0,0,4
